Epoch,MaxActionDiff,MinActionDiff,MeanActionDiff,StdActionDiff,MeanReWeightingFactor,StdReWeightingFactor,MeanMinusStd,MeanPlusStd,Loss
27500,9.275757,0.0032958984,-1681.4413,2.5585077,1,12.16387,-1683.9998,-1678.8828,-1681.3457
28000,8.289917,0.015014648,-1681.371,2.804528,0.99999994,4.7867417,-1684.1755,-1678.5664,-1681.2759
28500,10.499268,0.0014648438,-1681.7783,2.811441,0.99999994,11.498279,-1684.5897,-1678.9669,-1681.5251
29000,7.430664,0.005859375,-1681.5605,2.8800907,0.99999994,4.7996063,-1684.4407,-1678.6804,-1681.5189
29500,8.039795,0.0068359375,-1681.5845,2.567593,1,7.349064,-1684.1521,-1679.0168,-1681.4003
30000,6.746338,0.03881836,-1681.7043,2.6336448,1,3.602497,-1684.338,-1679.0707,-1681.5956
30500,8.978882,0.003540039,-1681.7045,2.8756983,1.0000001,8.483046,-1684.5802,-1678.8287,-1681.615
31000,7.2299805,0.03540039,-1681.6978,2.5384152,1,3.7763233,-1684.2362,-1679.1593,-1681.4933
31500,8.562378,0.0076904297,-1681.8065,2.6516383,1.0000001,6.63154,-1684.4581,-1679.1549,-1681.6201
32000,6.7282715,0.0146484375,-1682.0603,2.5770433,0.9999999,4.1865206,-1684.6373,-1679.4833,-1681.9686
32500,8.687256,0.005859375,-1682.0037,2.8654459,0.9999999,3.7381792,-1684.8691,-1679.1382,-1681.9113
33000,7.7576904,0.021606445,-1681.966,2.523352,0.99999994,6.843538,-1684.4893,-1679.4426,-1681.8667
33500,7.5201416,0.0064697266,-1682.13,2.4103663,1.0000001,6.401666,-1684.5404,-1679.7196,-1682.0029
34000,7.1531982,0.021606445,-1681.9005,2.663273,1,4.8679175,-1684.5638,-1679.2372,-1681.8444
34500,7.769287,0.020751953,-1682.0212,2.6588836,1,5.222682,-1684.6802,-1679.3623,-1681.9293
35000,9.32251,0.017089844,-1681.7681,2.5474665,1.0000001,4.828702,-1684.3156,-1679.2206,-1681.6931
35500,12.720825,0.013793945,-1682.1063,2.8513026,0.9999999,15.472211,-1684.9576,-1679.255,-1681.9114
36000,7.3879395,0.006591797,-1682.1672,2.6323676,1,4.0845785,-1684.7996,-1679.5349,-1681.9834
36500,6.448242,0.0024414062,-1682.0737,2.201288,1,4.9036555,-1684.275,-1679.8724,-1682.0017
37000,7.1757812,0.029785156,-1682.113,2.4778652,1.0000001,5.8121037,-1684.591,-1679.6351,-1681.9124
37500,6.9484863,0.0056152344,-1682.1919,2.598265,1,4.3519645,-1684.7902,-1679.5936,-1682.1068
38000,8.861938,0.008178711,-1682.3033,2.5746422,1.0000001,4.2746506,-1684.8779,-1679.7288,-1682.0742
38500,6.449707,0.0014648438,-1682.2852,2.3620665,1.0000001,4.239716,-1684.6472,-1679.9231,-1682.166
39000,7.335449,0.043945312,-1682.2942,2.3490436,1,6.283112,-1684.6432,-1679.9452,-1682.2157
39500,6.8344727,0.017822266,-1682.3828,2.2765582,1.0000001,5.0757995,-1684.6594,-1680.1062,-1682.3096
40000,7.3032227,0.012939453,-1682.0864,2.552876,0.9999999,4.704642,-1684.6393,-1679.5336,-1682.0325
40500,8.137451,0.044921875,-1682.6184,2.5358894,1,7.154638,-1685.1543,-1680.0825,-1682.5308
41000,6.3863525,0.0028076172,-1682.3226,2.382164,1.0000001,4.160625,-1684.7048,-1679.9404,-1682.2389
41500,6.031372,0.00036621094,-1682.4222,2.4359386,1,3.4375265,-1684.8582,-1679.9863,-1682.2156
42000,7.3808594,0.0007324219,-1682.3271,2.40728,1,3.321452,-1684.7344,-1679.9199,-1682.1843
42500,8.032715,0.020263672,-1682.3718,2.3557868,1.0000001,9.206816,-1684.7277,-1680.016,-1682.1709
43000,7.1833496,0.0034179688,-1682.3894,2.4569697,1.0000001,5.094646,-1684.8463,-1679.9325,-1682.2773
43500,9.00415,0.0056152344,-1682.3435,2.6749349,1.0000001,8.2555485,-1685.0184,-1679.6686,-1682.261
44000,6.52417,0.0041503906,-1682.4478,2.3497853,1,4.2784343,-1684.7975,-1680.098,-1682.3629
44500,6.9144287,0.0040283203,-1682.9435,2.4756541,1,4.7511444,-1685.4192,-1680.4678,-1682.7368
